id, n
639, 49
640, 52
641, 61
642, 65
643, 49
644, 60
645, 54
646, 57
647, 61
648, 55
649, 79
650, 63
651, 55
652, 50
653, 47
654, 46
655, 55
656, 45
657, 63
658, 48
659, 49
660, 48
661, 41
662, 39
663, 46
664, 40
665, 28
666, 31
667, 39
668, 32
669, 22
670, 29
671, 28
672, 15
673, 17
674, 19
675, 12
676, 13
677, 11
678, 9
679, 10
680, 8
681, 3
682, 7
683, 5
684, 3
685, 5
686, 4
687, 2
688, 1
689, 0
690, 0
691, 1
692, 1
693, 1
694, 2
695, 0
696, 0
697, 1
698, 0
699, 0
700, 1
701, 0
702, 2
703, 0
704, 0
705, 0
706, 2
707, 1
708, 2
709, 0
710, 4
711, 5
712, 2
713, 2
714, 2
715, 4
716, 8
717, 4
718, 12
719, 12
720, 15
721, 12
722, 7
723, 12
724, 16
725, 22
726, 14
727, 18
728, 14
729, 30
730, 32
731, 21
732, 30
733, 28
734, 24
735, 39
736, 44
737, 35
738, 39
739, 29
740, 33
741, 45
742, 52
743, 48
744, 62
745, 52
746, 49
747, 62
748, 59
749, 66
750, 70
751, 72
752, 53
753, 64
754, 80
755, 71
756, 45
757, 55
758, 47
759, 48
760, 52
761, 48
762, 59
763, 43
764, 55
765, 61
766, 37
767, 39
768, 41
769, 31
770, 51
771, 42
772, 37
773, 22
774, 28
775, 31
776, 24
777, 27
778, 27
779, 23
780, 18
781, 20
782, 17
783, 17
784, 7
785, 13
786, 13
787, 6
788, 7
789, 10
790, 5
791, 4
792, 4
793, 7
794, 2
795, 1
796, 1
797, 2
798, 0
799, 1
800, 0
801, 0
802, 1
803, 2
804, 1
805, 0
806, 1
807, 2
808, 2
809, 0
810, 0
811, 0
812, 1
813, 1
814, 3
815, 3
816, 1
817, 4
818, 6
819, 2
820, 2
821, 4
822, 6
823, 4
824, 8
825, 9
826, 6
827, 7
828, 11
829, 8
830, 11
831, 12
832, 18
833, 17
834, 13
835, 19
836, 23
837, 20
838, 27
839, 21
840, 20
841, 33
842, 29
843, 30
844, 24
845, 31
846, 36
847, 36
848, 35
849, 42
850, 34
851, 32
852, 37
853, 50
854, 34
855, 43
856, 41
857, 40
858, 38
859, 41
860, 46
861, 38
862, 41
863, 41
864, 38
865, 45
866, 46
867, 50
868, 36
869, 47
870, 49
871, 35
872, 44
873, 28
874, 36
875, 28
876, 30
877, 36
878, 20
879, 32
880, 29
881, 29
882, 24
883, 21
884, 23
885, 15
886, 20
887, 14
888, 20
889, 7
890, 9
891, 14
892, 20
893, 8
894, 7
895, 9
896, 2
897, 10
898, 5
899, 3
900, 3
901, 4
902, 2
903, 5
904, 0
905, 5
906, 1
907, 1
908, 0
909, 0
910, 0
911, 1
912, 1
913, 4
914, 0
915, 1
916, 0
917, 0
918, 1
919, 1
920, 0
921, 1
922, 0
923, 0
924, 1
925, 2
926, 6
927, 4
928, 3
929, 3
930, 3
931, 5
932, 3
933, 10
934, 7
935, 12
936, 8
937, 12
938, 8
939, 8
940, 8
941, 12
942, 7
943, 10
944, 15
945, 15
946, 14
947, 16
948, 22
949, 16
950, 16
951, 13
952, 18
953, 35
954, 21
955, 17
956, 23
957, 25
958, 19
959, 29
960, 17
961, 27
962, 31
963, 33
964, 41
965, 27
966, 23
967, 30
968, 21
969, 24
970, 21
971, 22
972, 27
973, 33
974, 40
975, 20
976, 18
977, 32
978, 25
979, 21
980, 20
981, 24
982, 27
983, 17
984, 31
985, 23
986, 24
987, 13
988, 12
989, 16
990, 13
991, 18
992, 12
993, 19
994, 11
995, 4
996, 8
997, 9
998, 12
999, 7
1000, 9
