id, n
639, 13
640, 14
641, 11
642, 12
643, 8
644, 12
645, 15
646, 18
647, 20
648, 21
649, 20
650, 14
651, 10
652, 18
653, 18
654, 11
655, 8
656, 14
657, 12
658, 18
659, 15
660, 14
661, 18
662, 18
663, 9
664, 14
665, 12
666, 13
667, 15
668, 15
669, 18
670, 18
671, 9
672, 13
673, 6
674, 17
675, 14
676, 19
677, 13
678, 15
679, 17
680, 12
681, 23
682, 19
683, 14
684, 12
685, 10
686, 12
687, 14
688, 8
689, 17
690, 11
691, 16
692, 10
693, 25
694, 11
695, 15
696, 14
697, 14
698, 11
699, 14
700, 3
701, 11
702, 13
703, 21
704, 15
705, 12
706, 12
707, 9
708, 14
709, 16
710, 16
711, 15
712, 8
713, 10
714, 7
715, 19
716, 11
717, 8
718, 15
719, 14
720, 16
721, 12
722, 12
723, 12
724, 18
725, 16
726, 12
727, 19
728, 17
729, 17
730, 11
731, 12
732, 13
733, 11
734, 10
735, 15
736, 7
737, 13
738, 13
739, 13
740, 12
741, 10
742, 17
743, 19
744, 15
745, 17
746, 11
747, 15
748, 15
749, 18
750, 19
751, 15
752, 10
753, 18
754, 10
755, 8
756, 5
757, 11
758, 13
759, 14
760, 13
761, 6
762, 9
763, 15
764, 17
765, 13
766, 10
767, 7
768, 9
769, 12
770, 11
771, 9
772, 9
773, 20
774, 14
775, 13
776, 20
777, 14
778, 12
779, 10
780, 18
781, 16
782, 11
783, 14
784, 17
785, 14
786, 12
787, 9
788, 14
789, 10
790, 22
791, 20
792, 10
793, 12
794, 16
795, 12
796, 17
797, 18
798, 19
799, 17
800, 7
801, 16
802, 10
803, 9
804, 12
805, 16
806, 14
807, 7
808, 13
809, 13
810, 15
811, 13
812, 14
813, 12
814, 20
815, 19
816, 15
817, 20
818, 13
819, 12
820, 13
821, 19
822, 20
823, 11
824, 7
825, 12
826, 16
827, 9
828, 16
829, 17
830, 11
831, 7
832, 11
833, 14
834, 13
835, 20
836, 16
837, 15
838, 17
839, 9
840, 23
841, 17
842, 11
843, 15
844, 18
845, 19
846, 13
847, 17
848, 8
849, 11
850, 12
851, 13
852, 13
853, 16
854, 11
855, 14
856, 17
857, 8
858, 10
859, 18
860, 17
861, 18
862, 10
863, 14
864, 8
865, 9
866, 7
867, 17
868, 18
869, 23
870, 20
871, 9
872, 8
873, 16
874, 25
875, 14
876, 12
877, 17
878, 19
879, 11
880, 13
881, 12
882, 19
883, 16
884, 17
885, 11
886, 18
887, 10
888, 7
889, 8
890, 15
891, 9
892, 11
893, 13
894, 10
895, 14
896, 12
897, 10
898, 11
899, 9
900, 15
901, 20
902, 14
903, 18
904, 16
905, 16
906, 16
907, 23
908, 17
909, 15
910, 19
911, 12
912, 17
913, 13
914, 15
915, 14
916, 10
917, 10
918, 8
919, 17
920, 13
921, 18
922, 16
923, 14
924, 8
925, 15
926, 14
927, 15
928, 13
929, 11
930, 14
931, 8
932, 15
933, 10
934, 15
935, 19
936, 6
937, 18
938, 12
939, 19
940, 12
941, 18
942, 16
943, 19
944, 20
945, 14
946, 10
947, 9
948, 6
949, 21
950, 15
951, 16
952, 12
953, 17
954, 10
955, 16
956, 11
957, 15
958, 10
959, 9
960, 11
961, 18
962, 14
963, 18
964, 12
965, 17
966, 15
967, 14
968, 23
969, 7
970, 16
971, 14
972, 6
973, 13
974, 14
975, 13
976, 14
977, 20
978, 11
979, 15
980, 14
981, 9
982, 13
983, 14
984, 11
985, 17
986, 14
987, 16
988, 16
989, 10
990, 9
991, 21
992, 12
993, 7
994, 13
995, 16
996, 16
997, 13
998, 19
999, 15
1000, 14
